# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336386999.633533955 -2.15682 3.42581 0.353521 0.0855785 0.0193767 -0.731225 0.67647 4162 1054 924
1336386999.732770920 -2.16586 3.42885 0.353872 0.0848736 0.0204701 -0.73156 0.676164 4164 1053 918
1336386999.832007885 -2.17608 3.42689 0.352659 0.0826995 0.0206049 -0.732118 0.675825 4170 1019 880
1336386999.931244850 -2.19453 3.42991 0.35141 0.0796116 0.023991 -0.733051 0.675072 4149 1042 903
1336387000.030480862 -2.20328 3.43743 0.351216 0.080491 0.0259697 -0.733668 0.674224 4107 1060 911
1336387000.129719019 -2.21892 3.44139 0.351689 0.0792343 0.028566 -0.734412 0.673457 4077 1039 913
1336387000.228955984 -2.23855 3.44177 0.347361 0.0763186 0.0309115 -0.735501 0.672501 3979 980 854
1336387000.328192949 -2.25399 3.44559 0.346137 0.0759279 0.0327315 -0.736385 0.671491 3978 1005 886
1336387000.427429914 -2.26844 3.45032 0.344619 0.0763646 0.0342619 -0.737204 0.670467 3986 967 848
1336387000.526666880 -2.28307 3.44865 0.341813 0.0756785 0.0341771 -0.73779 0.669904 3886 959 840
1336387000.625902891 -2.29657 3.45633 0.341139 0.0776538 0.0358649 -0.737931 0.669434 3837 964 864
1336387000.725142002 -2.30892 3.45396 0.33918 0.0781119 0.0345892 -0.738004 0.669367 3750 950 843
1336387000.824378014 -2.32581 3.45767 0.336858 0.0788317 0.0356355 -0.737878 0.669366 3669 924 817
1336387000.923614025 -2.33977 3.46055 0.334541 0.0803624 0.0356634 -0.737373 0.66974 3643 921 819
1336387001.022850990 -2.35745 3.46119 0.331998 0.0805052 0.0357569 -0.73689 0.670248 3517 834 740
1336387001.122088909 -2.36709 3.45884 0.33001 0.0821709 0.0330217 -0.736207 0.670937 3404 850 765
1336387001.221324921 -2.38761 3.4603 0.327047 0.0816265 0.0337506 -0.73545 0.671797 3411 824 745
1336387001.320561886 -2.39916 3.46221 0.325302 0.0834249 0.0323342 -0.734281 0.672924 3248 814 748
1336387001.419798851 -2.41204 3.45815 0.320965 0.0831022 0.0298797 -0.733191 0.674264 3150 815 734
1336387001.519036055 -2.42159 3.46199 0.319565 0.0850322 0.0286442 -0.731966 0.675407 3056 783 719
1336387001.618273020 -2.43337 3.45985 0.31697 0.0845765 0.0267082 -0.730989 0.6766 3025 758 703
1336387001.717509031 -2.44338 3.4632 0.314948 0.0857146 0.0255046 -0.73041 0.677129 2924 753 701
1336387001.816745996 -2.45123 3.46429 0.313105 0.0867627 0.0231485 -0.730245 0.677259 2916 760 703
1336387001.915983915 -2.46988 3.46606 0.311466 0.0851101 0.023772 -0.730514 0.677157 2860 762 706
1336387002.015219927 -2.47911 3.47017 0.310197 0.086542 0.0225297 -0.730882 0.67662 2764 725 668
1336387002.114456892 -2.49595 3.47154 0.306813 0.0855056 0.0223916 -0.731675 0.675899 2642 687 641
1336387002.213693857 -2.51271 3.47908 0.305825 0.0859393 0.0236603 -0.732536 0.674867 2675 686 627
1336387002.312930822 -2.5244 3.47761 0.301799 0.0858051 0.0215281 -0.733702 0.673688 2604 731 682
1336387002.412168026 -2.54399 3.48341 0.298935 0.085349 0.023002 -0.735191 0.672071 2541 673 623
1336387002.511404991 -2.56553 3.48923 0.296556 0.084548 0.024813 -0.736803 0.670341 2438 662 619
1336387002.610641956 -2.58556 3.49352 0.292918 0.0840066 0.0257736 -0.73846 0.668547 2424 669 629
1336387002.709878922 -2.60258 3.49945 0.289232 0.0849539 0.0261933 -0.740103 0.666591 2337 640 593
1336387002.809115887 -2.62088 3.5033 0.284618 0.0852438 0.0261049 -0.741846 0.664618 2270 615 571
1336387002.908352852 -2.64392 3.51038 0.281002 0.0852778 0.0277867 -0.743596 0.662586 2192 615 581
1336387003.007590055 -2.67016 3.51732 0.278322 0.08457 0.0299815 -0.745402 0.660549 2139 587 550
1336387003.106827021 -2.69315 3.5248 0.275548 0.0849669 0.0312851 -0.747071 0.658549 2045 565 538
1336387003.206063986 -2.71224 3.52975 0.271811 0.0858455 0.0308328 -0.748624 0.65669 1986 516 489
1336387003.305300951 -2.74002 3.53682 0.268709 0.0851528 0.0325967 -0.750215 0.654877 1880 530 500
